,bill_id,bill_title_fr,bill_title_de,person_name,person_gender,canton_name,canton_abbrev,topic
651,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457864,Répartition équitable du travail rémunéré et du travail non rémunéré,Umverteilung der bezahlten und unbezahlten Arbeit,Teuscher Franziska,f,Bern,BE,Wirtschaft
652,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457865,14 juin. Femmes dans l'administration fédérale,14. Juni. Frauen in der Bundesverwaltung,Aubert Josiane,f,Waadt,VD,Staatspolitik
653,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457866,Pas de chocolat suisse produit grâce au travail des enfants,Schweizer Schokolade ohne Kinderarbeit,Tschümperlin Andy,m,Schwyz,SZ,Wirtschaft
654,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457867,Convention du Conseil de l'Europe sur la protection des enfants contre l'exploitation et les abus sexuels,Europaratskonvention zum Schutz von Kindern vor sexueller Ausbeutung und sexuellem Missbrauch,Graber Jean-Pierre,m,Bern,BE,Recht Allgemein
655,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457868,Responsabilité éventuelle d'effets indésirables toxiques dus aux vaccins contre le virus A(H1N1),Verantwortung für allfällige unerwünschte Nebenwirkungen des Schweinegrippeimpfstoffs,Baettig Dominique,m,Jura,JU,Gesundheit
656,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457869,Egalité des salaires dans l'administration fédérale,Lohngleichheit in der Bundesverwaltung,Prelicz-Huber Katharina,f,Zürich,ZH,Staatspolitik
657,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457870,"Le Conseil fédéral et le Haras national. Louer hier, lâcher aujourd'hui, lyncher demain?","Nationalgestüt. Vom Bundesrat gestern gewürdigt, heute im Stich gelassen, morgen zum Tod verurteilt?",de Buman Dominique,m,Freiburg,FR,Landwirtschaft
658,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457871,L'ODM viole des règles fondamentales de procédure,Das Bundesamt für Migration verstösst gegen grundlegendes Verfahrensrecht,Bernasconi Maria,f,Genf,GE,Migration
659,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457872,Convention de Berne,Berner Konvention,Schmidt Roberto,m,Wallis,VS,Umwelt
660,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457873,Service radioamateur,Amateurfunk-Dienst,Rickli Natalie,f,Zürich,ZH,Medien und Kommunikation
661,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457874,OCDE. Révision des principes directeurs,OECD. Überarbeitung der Leitsätze,Meier-Schatz Lucrezia,f,St. Gallen,SG,Wirtschaft
662,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457875,"Suspension des autorisations dans le cadre du principe du ""Cassis de Dijon"" dans le domaine des denrées alimentaires",Aussetzung der Lebensmittelbewilligungen im Rahmen des Cassis-de-Dijon-Prinzips,Bourgeois Jacques,m,Freiburg,FR,Landwirtschaft
663,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457876,Corruption dans le deuxième pilier,Korruption in der zweiten Säule,Rechsteiner Paul,m,St. Gallen,SG,Soziale Fragen
664,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457877,Port obligatoire du casque pour les vélos électriques,Helmtragpflicht für Elektrovelos,Weber-Gobet Marie-Thérèse,f,Freiburg,FR,Verkehr
665,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457878,Traité sur le commerce des armes. Réunion préparatoire,Vorbereitungstreffen zum Arms Trade Treaty,Frösch Therese,f,Bern,BE,Sicherheitspolitik
666,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457879,Que fait le groupe de travail interdépartemental Migration?,Was macht die Interdepartementale Arbeitsgruppe Migration?,Zisyadis Josef,m,Waadt,VD,Migration
667,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457880,"Risques de défaut de paiement du Portugal, de l'Italie, de l'Irlande, de la Grèce et de l'Espagne et implications pour nos banques et notre économie",Ausfallrisiken der PIIGS-Staaten und deren Implikationen auf unsere Banken und Volkswirtschaft,Reimann Lukas,m,St. Gallen,SG,Finanzwesen
668,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457881,Coûts et primes en Suisse romande,Kosten und Prämien in der Westschweiz,Freysinger Oskar,m,Wallis,VS,Gesundheit
669,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457882,Régularisation de la famille genevoise Selimi (1),Legalisierung des Aufenthalts der Genfer Familie Selimi (1),Barthassat Luc,m,Genf,GE,Migration
670,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457883,Procureur général de la Confédération,Bundesanwalt. Wie lange noch?,Schlüer Ulrich,m,Zürich,ZH,Recht Allgemein
671,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457884,Nouveau passeport. Nombre de pages,Neuer Pass. Anzahl Seiten,Meyer-Kaelin Thérèse,f,Freiburg,FR,Recht Allgemein
672,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457885,"La Suisse, plaque tournante complaisante des assassinats d'Etat",Die Schweiz als Drehscheibe für staatlich organisierte Morde,Sommaruga Carlo,m,Genf,GE,Sicherheitspolitik
673,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457886,Libération de Gilad Shalit,Freilassung von Gilad Shalit,Pfister Theophil,m,St. Gallen,SG,Internationale Politik
674,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457887,Programme national de dépistage précoce du cancer du sein,Nationales Programm zur Früherkennung von Brustkrebs,Moret Isabelle,f,Waadt,VD,Gesundheit
675,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457888,Reconnaissance du terme AOC,Anerkennung der Kurzbezeichnung KUB/AOC,Zisyadis Josef,m,Waadt,VD,Landwirtschaft
676,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457889,Communiqué de l'OFSP. La CFPP a besoin de temps pour mener des discussions plus approfondies,Medienmitteilung des BAG. Die ELGK braucht Zeit für eine vertiefte Bearbeitung,Gilli Yvonne,f,St. Gallen,SG,Gesundheit
677,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457890,Journée contre l'abus et le trafic de drogues,Tag gegen Drogenmissbrauch,Bortoluzzi Toni,m,Zürich,ZH,Gesundheit
678,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457891,Le renvoi est maintenu même s'il implique l'éclatement de la famille (2),Ausschaffung trotz Aufspaltung der Familie (2),Rielle Jean-Charles,m,Genf,GE,Migration
679,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457892,Affaire Vekselberg,Affäre Vekselberg,Rime Jean-François,m,Freiburg,FR,Finanzwesen
680,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457893,Accorder une remise de dette au Pakistan,Pakistan. Schuldenerlass,Leutenegger Oberholzer Susanne,f,Basel-Landschaft,BL,Finanzwesen
681,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457894,L'outil Salarium de l'OFS doit être corrigé,Der Lohnrechner Salarium des Bundesamtes für Statistik muss korrigiert werden,Simoneschi-Cortesi Chiara,f,Tessin,TI,Wirtschaft
682,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457895,ITER,Iter,Heim Bea,f,Solothurn,SO,Energie
683,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457896,Suisse et blocus de la bande de Gaza,Die Schweiz und die Blockade des Gaza-Streifens,Zisyadis Josef,m,Waadt,VD,Internationale Politik
684,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457897,Que devient le rapport sur le service civil?,Wo bleibt der Bericht zum Zivildienst?,Hurter Thomas,m,Schaffhausen,SH,Sicherheitspolitik
685,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457898,La Poste suisse a-t-elle le droit de concurrencer des opérateurs privés suisses en produisant dans des pays à bas salaires?,Darf die Schweizerische Post private inländische Anbieter durch Produktion in Billiglohnländern konkurrenzieren?,Hochreutener Norbert,m,Bern,BE,Medien und Kommunikation
686,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457899,Discours du 1er août de la conseillère fédérale Eveline Widmer-Schlumpf et transaction de la police cantonale argovienne avec des sans-papiers,1.-August-Rede von Bundesrätin Eveline Widmer-Schlumpf und Handel der Aargauer Kantonspolizei mit den Sans-Papiers,Graber Jean-Pierre,m,Bern,BE,Migration
687,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457900,2010. Année européenne de lutte contre la pauvreté et l'exclusion,2010. Europäisches Jahr gegen Armut und soziale Ausgrenzung,Goll Christine,f,Zürich,ZH,Soziale Fragen
688,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457901,Comment justifier les redevances pour les diffuseurs sans quote-part,Rechtfertigung der Gebühren ohne Gebührensplitting,Malama Peter,m,Basel-Stadt,BS,Medien und Kommunikation
689,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457902,14 juin. Secret bancaire et secret des salaires,14. Juni. Bankgeheimnis und Lohngeheimnis,Carobbio Guscetti Marina,f,Tessin,TI,Wirtschaft
690,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457903,Vive le fromage au lait cru!,Es lebe der Rohmilchkäse!,Zisyadis Josef,m,Waadt,VD,Gesundheit
691,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457904,Quelles mesures la Confédération prend-elle pour lutter contre l'augmentation de la consommation de drogue?,Was tut der Bund gegen zunehmenden Drogenkonsum?,Widmer Hans,m,Luzern,LU,Gesundheit
692,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457905,Activité réglementaire de la FINMA,Regulierungstätigkeit durch die Finma,Jositsch Daniel,m,Zürich,ZH,Finanzwesen
693,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457906,Punitions collectives à l'école de recrues à Bière,Kollektivstrafen in der Rekrutenschule in Bière,Neirynck Jacques,m,Waadt,VD,Sicherheitspolitik
694,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457907,Coûts de personnel extraordinaires dus à la rotation excessive des cadres des CFF,Ausserordentliche Personalkosten bei den SBB durch übermässigen Kaderwechsel,von Rotz Christoph,m,Obwalden,OW,Verkehr
