,bill_id,bill_title_fr,bill_title_de,person_name,person_gender,canton_name,canton_abbrev,topic
9572,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497966,Fonds de développement de la Banque mondiale. Un acteur essentiel dans la lutte contre la pauvreté,Entwicklungsfonds der Weltbank als Schlüsselakteur für die Reduktion der Armut,Ingold Maja,f,Zürich,ZH,Internationale Politik
9573,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497967,Expo 2015 de Milan. Financement du pavillon suisse,Expo 2015 in Mailand. Finanzierung des Schweizer Pavillons,Pantani Roberta,f,Tessin,TI,Finanzwesen
9574,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497968,Allemand ou suisse-allemand? Allons-nous modifier la Constitution?,Hochdeutsch oder Schweizerdeutsch? Sollen wir die Bundesverfassung ändern?,Romano Marco,m,Tessin,TI,Kultur
9575,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497969,Implantation d'une aire d'accueil pour les gens du voyage sur la place d'armes de Bure. Qui décidera?,Empfangsplatz für Fahrende auf dem Waffenplatz Bure. Wer entscheidet?,Gschwind Jean-Paul,m,Jura,JU,Soziale Fragen
9576,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497970,Retards et coûts liés à l'introduction de E-LP 2.0,Verzögerung und Kosten bei der Einführung von E-SchKG 2.0,Hurter Thomas,m,Schaffhausen,SH,Recht Allgemein
9577,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497971,Faciliter l'aide au suicide?,Die Sterbehilfe erleichtern?,Heim Bea,f,Solothurn,SO,Gesundheit
9578,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497972,Inaction face à un abus du droit d'asile et un transfert d'argent frauduleux prouvés et documentés,Tatenlosigkeit gegen belegten und genau dokumentierten Asylmissbrauch und Geldschieberei,Reimann Lukas,m,St. Gallen,SG,Migration
9579,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497973,Déplacement du champ d'aviation de Bienne-Kappelen,Pistenverlegung des Flugfeldes Biel-Kappelen,Allemann Evi,f,Bern,BE,Verkehr
9580,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497974,Transition énergétique. Hausses de loyer suite à l'assainissement d'immeubles,Energiewende. Steigende Mieten nach der Sanierung von Mehrfamilienhäusern,Böhni Thomas,m,Thurgau,TG,Raumplanung und Wohnungswesen
9581,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497975,Héliski. La décision d'interrompre le réexamen des places d'atterrissage est-elle défendable sur les plans juridique et institutionnel?,Heliskiing. Ist der Sistierungsentscheid rechtlich und staatspolitisch vertretbar?,Semadeni Silva,f,Graubünden,GR,Umwelt
